
----------------------------------------------------------------------------------------------------

                      Job                               Time         
                      ---                               ----         

Initialisation:                                 0 hours  0 min  3 sec 
Read in CG system:                              0 hours  0 min  0 sec 
Build protein systems:                          0 hours  0 min  2 sec 
Build non protein system:                       0 hours  0 min  4 sec 
Merge and minimise de novo:                     0 hours  0 min  4 sec 
NVT on de novo:                                 0 hours  0 min 16 sec 
---------------------------------------------------------------------
Total run time:                                 0 hours  0 min 29 sec 
